channel_id,all_comment_count,eng_comment_count
UCE46LtAJ9BpCWOunD_ZwY5Q,25,18
UCE5mQnNl8Q4H2qcv4ikaXeA,25,23
UCE5wDMNEZElnuRDk6TDPOYg,32,18
UCE7spuKzxP1k8A-XucxxUAQ,31,24
UCEABeKNML9Yy3mQIJRPkKrg,21,6
UCEBb1b_L6zDS3xTUrIALZOw,111,81
UCEEi1lDCkKi1ukmTAgc9-zA,25,6
UCEGC6iQjjJNCLkvLdi12BIg,36,21
UCEGJtJpwHlpUoMlAOlCWdAA,64,45
UCEH0dQo-8q0jQQdPfZYDF3Q,26,17
UCEJdOGwm6CNtc_kIa_Qjy6A,26,19
UCELts_uwGFF5uwaHIFSp41A,34,25
UCENRvVys9nMpQpENGeL8NEg,23,21
UCEOhpXTO8CwrpkBTxOOu4bw,57,28
UCEP0Zgg1BuAExe6x6fPSPqQ,27,27
UCERpfFL1aRqsrJhmKkGAEPA,91,67
UCET00YnetHT7tOpu12v8jxg,24,19
UCEVZNpzM9oDegvplv5Z36Sw,25,17
UCEWhQG9S3mIe0VTYUcqhzgA,24,8
UCEWpbFLzoYGPfuWUMFPSaoA,149,119
